MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,MFCC14,MFCC15,MFCC16,MFCC17,MFCC18,MFCC19,MFCC20,Emotion,Gender
-723.4097290039062,67.44268035888672,1.5666199922561646,12.322113990783691,5.354798793792725,12.335628509521484,-3.6089305877685547,2.3594794273376465,-3.732102870941162,-2.9478201866149902,-8.189702987670898,-0.41624969244003296,1.9270093441009521,-3.1587560176849365,2.3260793685913086,-0.2559445798397064,-2.8295838832855225,1.6569154262542725,0.953548014163971,-2.748610019683838,0,1
-713.2086791992188,68.59112548828125,-0.6231672763824463,13.469033241271973,7.640559673309326,12.710503578186035,-4.608370304107666,3.8850080966949463,-4.596339225769043,-4.924383640289307,-7.437107563018799,-0.262947678565979,2.0614185333251953,-3.4623360633850098,1.7713286876678467,-1.156433343887329,-2.617565155029297,1.0084946155548096,0.423164427280426,-3.1968390941619873,0,1
-717.9742431640625,69.43238067626953,2.304298162460327,12.640312194824219,6.033510208129883,10.01070499420166,-3.1661529541015625,4.027432918548584,-5.294763565063477,-3.3494834899902344,-7.847446918487549,-1.3000351190567017,1.203642725944519,-3.2572128772735596,1.9271345138549805,-0.05801248922944069,-3.025169849395752,-0.7035222053527832,1.1660399436950684,-3.4870920181274414,0,1
-717.2781982421875,68.07593536376953,4.224743843078613,13.785869598388672,5.770969867706299,11.826865196228027,-2.0211946964263916,5.122943878173828,-6.085024833679199,-4.186367988586426,-7.390836715698242,-0.6232889294624329,2.1575124263763428,-1.5676190853118896,1.4114664793014526,-0.253635972738266,-2.6409504413604736,0.2684234082698822,1.2930725812911987,-2.3486101627349854,0,1
-759.7821044921875,77.20197296142578,1.9150896072387695,15.999646186828613,4.7601704597473145,13.611688613891602,-3.7486824989318848,3.177417039871216,-5.171786308288574,-2.402808427810669,-8.070987701416016,-2.5067949295043945,1.9885127544403076,-2.9858553409576416,0.6442800760269165,-0.66507887840271,-3.1053414344787598,0.8680098056793213,1.6045736074447632,-3.885930299758911,1,1
-737.2032470703125,78.92459106445312,5.437982559204102,12.073761940002441,5.134884357452393,14.298897743225098,-3.1577162742614746,2.089116096496582,-5.494765281677246,-2.3874969482421875,-6.3358235359191895,-2.5332858562469482,3.0548555850982666,-1.9116920232772827,0.44000574946403503,-0.6707465052604675,-2.9505398273468018,0.40458112955093384,1.6222261190414429,-3.1230270862579346,1,1
-733.440185546875,82.35896301269531,1.3410753011703491,15.802632331848145,3.983448028564453,13.086807250976562,-3.529473066329956,6.394496440887451,-5.770402908325195,-1.8638547658920288,-6.814525127410889,-2.4642770290374756,3.520784854888916,-2.699653148651123,3.560971975326538,-1.8496276140213013,-2.030022382736206,1.8453381061553955,1.3212471008300781,-4.825310707092285,1,1
-731.8690185546875,83.8197250366211,3.400794267654419,13.954859733581543,5.372696876525879,13.620732307434082,-3.744197130203247,5.8120551109313965,-5.952446460723877,-2.8310320377349854,-6.061336517333984,-3.1185197830200195,2.6358642578125,-2.8622031211853027,2.851330041885376,-1.4140397310256958,-2.09696888923645,1.2592769861221313,1.6953725814819336,-3.916485548019409,1,1
-777.3663330078125,89.46604919433594,1.1134902238845825,18.938888549804688,2.1655068397521973,16.587844848632812,-4.688754081726074,3.4957668781280518,-5.338406085968018,-0.4883868396282196,-5.476346492767334,-2.7186081409454346,3.348844051361084,-0.7463732361793518,2.0057590007781982,-1.897472620010376,-2.0904695987701416,1.1970030069351196,0.9816401600837708,-1.2486966848373413,1,1
-730.90283203125,82.76399993896484,0.8977477550506592,14.172994613647461,2.639301300048828,14.758615493774414,-5.989494800567627,4.432811260223389,-8.421868324279785,-1.2671698331832886,-6.766604900360107,-2.2652323246002197,3.8369245529174805,-1.8545225858688354,1.3578929901123047,-2.942551851272583,-2.247378349304199,0.5799746513366699,0.4529920518398285,-3.483859062194824,1,1
